instructor_id,name,expertise_area,rating,join_date
i00221,Riya Hall,AI,4.8,3/16/2018
i00222,Liam Brown,Math,4.4,6/23/2021
i00223,Riya Brown,Business,3.3,9/7/2019
i00224,Noah Patel,Music,4.1,2/15/2020
i00225,Aanya Moore,Music,3.9,6/2/2018
i00226,Riya Hall,Biology,4.8,12/10/2019
i00227,Sophia Lewis,History,4.2,4/13/2020
i00228,Olivia Walker,Math,3.3,1/10/2018
i00229,Mia Lee,Physics,3.6,5/11/2020
i00230,Eva Thomas,Programming,4.2,9/28/2021
i00231,Aanya Brown,Data Science,3.9,1/23/2020
i00232,Meera Hall,Programming,3.4,1/28/2019
i00233,Riya Lewis,Biology,3.1,4/14/2018
i00234,Olivia Thomas,Data Science,3.8,8/31/2019
i00235,Eva Lewis,Design,5,10/10/2018
i00236,Aanya Singh,AI,4.3,9/24/2019
i00237,Benjamin Patel,Business,3.6,6/27/2021
i00238,Meera Lee,Physics,4.2,12/4/2021
i00239,Eva Johnson,Business,4.7,10/20/2019
i00240,Zara Moore,Data Science,4.7,9/18/2019
i00241,Riya Anderson,History,4.5,1/9/2020
i00242,Zara Taylor,Biology,4,7/16/2018
i00243,Liam Lewis,Business,3.5,8/25/2021
i00244,Liam Singh,Physics,4.1,12/1/2018
i00245,Meera Moore,History,4.4,9/6/2021
i00246,Zara Verma,Math,4.4,6/17/2020
i00247,Noah Singh,Music,3.4,10/6/2019
i00248,Ethan Lee,Math,3.1,1/15/2019
i00249,Zara Walker,Business,3.9,10/13/2020
i00250,Karan Moore,Data Science,3.8,7/23/2019
i00251,Karan Smith,Programming,4.7,2/12/2019
i00252,Isabella Smith,Data Science,4.6,10/4/2019
i00253,Noah Davis,Data Science,3.7,3/20/2020
i00254,Liam Davis,History,3.3,2/8/2018
i00255,Benjamin Wilson,Data Science,4.7,6/26/2021
i00256,Ethan Singh,Music,4.6,9/19/2018
i00257,Aanya Lewis,Design,3,7/26/2019
i00258,Karan Verma,Math,3.7,6/5/2018
i00259,Emma Patel,Design,3.5,12/20/2020
i00260,Amelia Taylor,Biology,3.5,5/21/2018
i00261,Noah Clark,Business,3.8,3/20/2020
i00262,Isabella Miller,Business,3.7,12/23/2021
i00263,Mia Martin,Music,4.6,6/25/2021
i00264,Karan Wilson,Business,3.1,4/14/2018
i00265,Emma Anderson,Business,3.4,2/11/2018
i00266,Liam Singh,Biology,3.6,3/1/2020
i00267,Amelia Brown,History,4.6,3/1/2019
i00268,Zara Wilson,History,3.9,8/23/2020
i00269,Karan Miller,Music,4.3,8/23/2021
i00270,Sophia Hall,Data Science,3.3,9/4/2019
i00271,Vihaan Sharma,Biology,3.6,12/12/2018
i00272,Olivia Davis,Design,4.7,12/24/2020
i00273,Riya Hall,Programming,4.6,12/5/2021
i00274,Eva Taylor,Physics,4.5,11/26/2021
i00275,Zara Lee,Biology,3.9,3/30/2019
i00276,Zara Wilson,Design,4.2,6/28/2019
i00277,Benjamin Martin,AI,4.8,4/18/2021
i00278,Karan Clark,Design,3.2,12/1/2021
i00279,Meera Thomas,History,4.3,5/31/2018
i00280,Zara Wilson,Programming,3.7,1/22/2018
i00281,Aanya Lee,History,4.8,4/17/2018
i00282,Lucas Martin,Programming,3.2,6/19/2021
i00283,Lucas Verma,Physics,3.4,1/5/2018
i00284,Arjun Sharma,Design,4.6,3/26/2019
i00285,Vihaan Hall,Data Science,3.6,7/17/2021
i00286,Amelia Anderson,Design,4.6,10/21/2018
i00287,Zara Anderson,AI,3.4,9/30/2021
i00288,Lucas Sharma,Music,3.8,8/9/2021
i00289,Ethan Anderson,Physics,3.2,3/22/2019
i00290,Vihaan Verma,Business,3.8,12/24/2018
i00291,Vihaan Patel,AI,4.3,10/3/2018
i00292,Zara Verma,Biology,4.5,4/23/2021
i00293,Amelia Clark,Business,3.9,6/2/2020
i00294,Vihaan Miller,Music,5,4/8/2021
i00295,Arjun Wilson,Biology,4.4,10/28/2020
i00296,Olivia Brown,Music,4.6,5/20/2018
i00297,Mia Miller,Music,3.8,6/14/2021
i00298,Meera Thomas,AI,4.5,11/24/2018
i00299,Zara Davis,Design,3.8,7/12/2018
i00300,Liam Verma,Programming,4.3,3/9/2021
i00301,Lucas Smith,Programming,3.5,3/19/2018
i00302,Mia Davis,Data Science,3.8,1/12/2018
i00303,Eva Patel,Biology,4.6,6/4/2021
i00304,Amelia Lewis,Design,3.7,2/17/2021
i00305,Sophia Walker,Design,4.4,5/26/2018
i00306,Ethan Brown,History,3.1,4/15/2021
i00307,Olivia Wilson,History,3.6,6/29/2019
i00308,Mia Brown,Music,4.6,8/25/2021
i00309,Ethan Taylor,History,5,8/1/2018
i00310,Mia Walker,Business,4.1,12/21/2020
i00311,Arjun Smith,Business,3.5,3/27/2018
i00312,Eva Moore,Design,4.3,8/24/2021
i00313,Vihaan Hall,Design,3.2,4/10/2020
i00314,Benjamin Smith,Programming,4.5,9/17/2020
i00315,Vihaan Thomas,Data Science,3.7,10/2/2020
i00316,Benjamin Patel,Biology,4.7,7/18/2021
i00317,Sophia Martin,Programming,3,3/4/2021
i00318,Vihaan Clark,Data Science,3,12/6/2019
i00319,Aanya Martin,Biology,3.1,8/26/2019
i00320,Emma Wilson,Data Science,4.6,8/22/2019
i00321,Ethan Lewis,Physics,5,12/1/2020
i00322,Aanya Verma,Business,3.6,1/5/2021
i00323,Noah Brown,Math,3.2,3/13/2018
i00324,Lucas Martin,Biology,3.3,3/12/2018
i00325,Mia Patel,AI,4.5,4/17/2020
i00326,Arjun Anderson,Design,4.4,5/25/2020
i00327,Olivia Walker,History,3.7,11/20/2020
i00328,Liam Smith,Biology,4.8,7/10/2021
i00329,Lucas Anderson,Programming,4.1,3/13/2019
i00330,Vihaan Martin,AI,4.6,8/27/2019
i00331,Emma Smith,Data Science,3.4,12/23/2020
i00332,Emma Taylor,History,4.7,2/12/2018
i00333,Emma Moore,Physics,3.3,9/3/2021
i00334,Benjamin Davis,Math,4.5,2/17/2018
i00335,Riya Patel,Programming,4.9,3/28/2020
i00336,Riya Martin,Business,4,10/31/2018
i00337,Aanya Patel,Math,3.9,1/13/2018
i00338,Liam Smith,Music,4.5,7/9/2020
i00339,Noah Johnson,Data Science,4.9,1/11/2019
i00340,Sophia Verma,Music,5,10/17/2020
i00341,Vihaan Sharma,Business,3.2,4/8/2021
i00342,Arjun Moore,Math,4.3,8/19/2018
i00343,Lucas Brown,Design,4,12/4/2018
i00344,Amelia Walker,Programming,4.8,5/8/2021
i00345,Amelia Anderson,Music,4.6,12/24/2020
i00346,Amelia Wilson,History,3.8,8/25/2021
i00347,Aarav Sharma,Math,4.7,4/30/2018
i00348,Liam Johnson,Business,3.7,4/7/2021
i00349,Noah Lewis,Math,4,8/4/2021
i00350,Eva Lewis,Biology,4.1,4/2/2018
i00351,Eva Davis,Music,3.5,7/31/2020
i00352,Riya Singh,Design,3.4,11/3/2021
i00353,Liam Lee,Design,4.4,4/13/2018
i00354,Ethan Johnson,Math,4.6,11/7/2018
i00355,Riya Wilson,Physics,4.8,7/5/2021
i00356,Sophia Martin,Business,3.1,3/27/2019
i00357,Noah Anderson,Business,4.9,3/17/2018
i00358,Noah Moore,Music,4.4,7/26/2021
i00359,Emma Verma,Physics,3.7,7/2/2018
i00360,Lucas Verma,Music,3.9,2/15/2021
i00361,Riya Thomas,Math,4.4,6/3/2018
i00362,Ethan Lewis,History,3.4,6/21/2019
i00363,Sophia Wilson,Music,5,10/26/2020
i00364,Olivia Martin,Physics,4.2,9/7/2020
i00365,Emma Wilson,Data Science,3.7,5/25/2019
i00366,Meera Davis,Music,4.6,4/19/2020
i00367,Meera Lee,Design,4.8,4/29/2018
i00368,Karan Moore,Music,4,4/20/2021
i00369,Eva Wilson,Data Science,4.5,3/21/2021
i00370,Mia Singh,Music,3.7,10/25/2018
i00371,Amelia Walker,AI,4.6,11/4/2019
i00372,Riya Miller,Programming,4.5,4/22/2019
i00373,Sophia Taylor,AI,4.2,6/24/2018
i00374,Eva Johnson,Physics,4.2,8/29/2021
i00375,Karan Singh,Data Science,4.7,2/6/2020
i00376,Mia Wilson,Physics,4.9,8/12/2021
i00377,Noah Walker,Biology,4.8,10/23/2019
i00378,Emma Walker,Biology,3,11/8/2018
i00379,Eva Anderson,Business,4.5,1/13/2020
i00380,Zara Sharma,History,3.9,5/4/2018
i00381,Benjamin Smith,Math,3.8,8/22/2019
i00382,Benjamin Smith,Music,4.7,3/29/2021
i00383,Noah Lee,Biology,4,11/11/2021
i00384,Aanya Lee,Programming,4.1,7/15/2020
i00385,Lucas Johnson,Physics,3.5,1/28/2018
i00386,Karan Davis,Music,3.4,7/7/2021
i00387,Isabella Martin,Design,4.8,1/1/2020
i00388,Sophia Davis,Data Science,4.2,3/21/2020
i00389,Isabella Taylor,Design,3.4,9/18/2019
i00390,Sophia Miller,Math,4.4,4/9/2019
i00391,Amelia Walker,Music,3.1,5/9/2019
i00392,Emma Davis,History,4.8,6/12/2019
i00393,Aarav Anderson,Biology,3.5,7/1/2018
i00394,Amelia Anderson,Design,4.1,5/5/2021
i00395,Eva Moore,Physics,3,11/19/2018
i00396,Ethan Taylor,AI,4.9,4/23/2018
i00397,Zara Martin,AI,4.7,5/25/2020
i00398,Lucas Smith,Physics,3.2,3/29/2019
i00399,Aarav Martin,Biology,3.9,6/6/2021
i00400,Aanya Patel,Math,4,11/26/2018
i00401,Emma Davis,History,3.1,2/8/2018
i00402,Olivia Miller,Business,4.1,2/17/2021
i00403,Amelia Singh,Business,4.3,6/18/2018
i00404,Riya Patel,Programming,4.4,2/6/2020
i00405,Mia Singh,Design,3.4,10/18/2021
i00406,Ethan Lee,Music,4,3/12/2018
i00407,Lucas Brown,Business,3.5,12/4/2019
i00408,Liam Brown,Music,3.9,2/11/2021
i00409,Eva Verma,Design,4.4,5/29/2020
i00410,Amelia Anderson,Math,4.4,6/13/2018
i00411,Lucas Singh,Business,3.4,7/19/2018
i00412,Karan Taylor,Math,4.9,9/12/2020
i00413,Eva Hall,History,4.4,9/30/2021
i00414,Lucas Thomas,History,4.7,6/25/2021
i00415,Riya Hall,Data Science,4.2,11/12/2021
i00416,Mia Singh,Design,4.5,10/14/2020
i00417,Isabella Moore,Programming,3.8,2/2/2021
i00418,Aarav Davis,Business,4.8,2/17/2018
i00419,Aarav Patel,Programming,4.2,7/2/2020
i00420,Amelia Sharma,Math,3.4,11/24/2019
i00421,Eva Singh,AI,4.5,4/16/2018
i00422,Arjun Verma,History,4.5,5/1/2021
i00423,Eva Sharma,History,4.9,1/28/2021
i00424,Arjun Thomas,Biology,4.7,2/17/2019
i00425,Vihaan Hall,AI,4.4,5/13/2019
i00426,Eva Martin,Design,4.6,1/9/2018
i00427,Mia Lee,AI,4.2,9/8/2020
i00428,Ethan Lee,Design,4.6,3/4/2019
i00429,Amelia Smith,Programming,4.5,5/26/2019
i00430,Eva Lee,Math,3.8,2/15/2020
i00431,Karan Hall,Math,3.9,2/6/2018
i00432,Zara Lee,AI,4.2,12/15/2020
i00433,Arjun Walker,Business,4.8,11/11/2018
i00434,Karan Verma,AI,3.6,2/21/2021
i00435,Eva Martin,Data Science,3.2,9/13/2018
i00436,Liam Lewis,Biology,4.1,5/15/2020
i00437,Vihaan Lewis,History,3.1,3/8/2021
i00438,Sophia Anderson,Design,3.4,7/1/2020
i00439,Liam Brown,Math,4.5,5/10/2019
i00440,Karan Singh,Math,3.9,1/30/2018
i00441,Riya Miller,Design,3.5,2/24/2021
i00442,Riya Johnson,Data Science,3.9,5/25/2021
i00443,Lucas Anderson,Business,3.5,10/31/2020
i00444,Amelia Martin,Design,3.9,5/19/2019
i00445,Liam Davis,History,4,2/3/2021
i00446,Benjamin Davis,Music,3.2,4/20/2020
i00447,Amelia Davis,Math,4,1/26/2018
i00448,Aarav Patel,Biology,4.3,8/21/2019
i00449,Arjun Brown,Music,4.7,1/29/2018
i00450,Vihaan Wilson,Physics,4.6,8/9/2018
i00451,Ethan Sharma,Biology,3.2,2/14/2018
i00452,Aarav Sharma,History,4.4,8/28/2021
i00453,Meera Johnson,History,4.8,6/15/2019
i00454,Isabella Hall,History,4.3,1/20/2019
i00455,Olivia Brown,History,3.8,2/2/2020
i00456,Lucas Moore,Biology,3.2,12/21/2018
i00457,Isabella Sharma,History,3.2,7/28/2019
i00458,Eva Brown,Biology,3.7,11/18/2021
i00459,Mia Martin,Math,3.6,3/4/2021
i00460,Aanya Verma,AI,4.5,10/14/2018
i00461,Riya Lewis,Physics,3.2,12/15/2021
i00462,Isabella Anderson,Data Science,3.7,3/5/2019
i00463,Noah Brown,Biology,4.5,2/19/2020
i00464,Zara Wilson,Music,3.7,8/7/2019
i00465,Amelia Davis,AI,4.2,4/20/2018
i00466,Eva Moore,Business,3.1,4/28/2020
i00467,Mia Lee,History,4.8,7/6/2019
i00468,Aanya Verma,AI,3.3,4/28/2018
i00469,Noah Miller,AI,4.8,6/27/2018
i00470,Mia Johnson,Physics,4.3,10/20/2020
i00471,Karan Clark,AI,3.6,11/8/2020
i00472,Benjamin Brown,Math,4.1,6/13/2018
i00473,Zara Sharma,Programming,3.9,7/2/2019
i00474,Noah Clark,History,3.5,8/21/2020
i00475,Lucas Anderson,Physics,3.3,8/24/2020
i00476,Eva Davis,Data Science,3.2,10/15/2019
i00477,Riya Lee,Business,3.8,9/19/2018
i00478,Sophia Moore,Business,3.7,8/9/2019
i00479,Arjun Smith,History,3.9,4/19/2020
i00480,Olivia Smith,Design,4.9,5/15/2021
i00481,Amelia Thomas,Physics,4.6,2/20/2020
i00482,Olivia Singh,Design,3.3,11/8/2021
i00483,Isabella Davis,Data Science,4,1/24/2018
i00484,Emma Patel,AI,4.3,6/4/2019
i00485,Zara Smith,Biology,3.8,5/2/2018
i00486,Arjun Sharma,Physics,4.3,3/23/2018
i00487,Meera Clark,History,4.9,4/20/2018
i00488,Emma Lewis,Programming,4.5,12/9/2020
i00489,Aarav Clark,Music,3.7,3/12/2020
i00490,Karan Martin,Biology,3.4,1/29/2019
i00491,Zara Smith,Math,3.7,8/9/2021
i00492,Zara Johnson,Design,4.4,4/21/2021
i00493,Isabella Davis,Business,3.8,8/27/2019
i00494,Arjun Lee,Physics,4.4,6/8/2019
i00495,Noah Miller,AI,4.6,8/21/2019
i00496,Mia Brown,History,3.2,1/16/2021
i00497,Vihaan Clark,Design,4.5,11/29/2020
i00498,Meera Anderson,Design,3.7,4/28/2019
i00499,Riya Lee,Business,4.5,8/4/2020
i00500,Amelia Taylor,Data Science,3.4,3/31/2021
i00501,Arjun Singh,Business,3.9,2/18/2021
i00502,Sophia Johnson,Physics,4.1,6/7/2018
i00503,Eva Smith,Data Science,4,3/5/2020
i00504,Eva Hall,Data Science,3.9,7/22/2020
i00505,Aanya Clark,AI,3.1,7/25/2020
i00506,Benjamin Smith,Music,3.3,12/22/2019
i00507,Arjun Thomas,Biology,3.3,11/27/2020
i00508,Ethan Verma,Music,4.1,2/15/2020
i00509,Amelia Sharma,History,4.2,1/3/2018
i00510,Benjamin Taylor,Math,4.1,8/31/2021
i00511,Meera Verma,Business,4.1,10/8/2020
i00512,Aarav Walker,Biology,3.5,6/3/2018
i00513,Emma Walker,History,3.8,11/18/2021
i00514,Mia Hall,Physics,4.2,9/5/2021
i00515,Noah Moore,History,4.4,8/6/2019
i00516,Sophia Lee,History,3,8/30/2021
i00517,Aarav Walker,Music,4.1,4/20/2021
i00518,Noah Taylor,Design,4.4,10/6/2021
i00519,Benjamin Moore,Math,4.7,10/28/2021
i00520,Zara Moore,Business,4,12/30/2019
i00521,Vihaan Brown,Biology,4.3,10/20/2021
i00522,Eva Verma,Biology,3,9/21/2020
i00523,Liam Hall,Biology,4.6,2/27/2018
i00524,Arjun Singh,Business,4.3,6/29/2019
i00525,Zara Thomas,AI,3.3,10/26/2020
i00526,Liam Walker,Physics,4.5,2/19/2021
i00527,Riya Thomas,History,4.5,5/19/2019
i00528,Olivia Lewis,Physics,4.5,3/12/2021
i00529,Aanya Thomas,Physics,4.6,5/19/2021
i00530,Arjun Wilson,Biology,3.2,10/15/2020
i00531,Meera Brown,Programming,5,1/12/2021
i00532,Karan Martin,AI,3.7,5/28/2018
i00533,Amelia Clark,Math,4.3,7/8/2018
i00534,Emma Verma,Physics,4.9,7/29/2020
